school,program,program_category,degree,degree_category,state,city,square_miles,population,density,average_winter,average_summer,latitude,longitude,link,date_collected
Auburn University,Statistics,Statistics,MS,Master,Alabama,Auburn,58.07,60258,1038,53.4,78.8,32.6005063,-85.4864026,http://www.auburn.edu/cosam/departments/math/,2016-04
Auburn University,Statistics,Statistics,PhD,Doctorate,Alabama,Auburn,58.07,60258,1038,53.4,78.8,32.6005063,-85.4864026,http://www.auburn.edu/cosam/departments/math/,2016-04
University of Alabama,Applied Statistics,Statistics,MS,Master,Alabama,Tuscaloosa,70.31,96122,1367,53.5,80.2,33.2118844,-87.5489832,http://manderson.cba.ua.edu/,2016-04
University of Alabama,Applied Statistics,Statistics,PhD,Doctorate,Alabama,Tuscaloosa,70.31,96122,1367,53.5,80.2,33.2118844,-87.5489832,http://manderson.cba.ua.edu/,2016-04
University of Alabama at Birmingham,Biostatistics,Biostatistics,MPH,Master,Alabama,Birmingham,148.6,212247,1428,52.6,79.4,33.5019426,-86.8038769,http://www.soph.uab.edu/bst,2016-04
University of Alabama at Birmingham,Biostatistics,Biostatistics,MS,Master,Alabama,Birmingham,148.6,212247,1428,52.6,79.4,33.5019426,-86.8038769,http://www.soph.uab.edu/bst,2016-04
University of Alabama at Birmingham,Biostatistics,Biostatistics,PhD,Doctorate,Alabama,Birmingham,148.6,212247,1428,52.6,79.4,33.5019426,-86.8038769,http://www.soph.uab.edu/bst,2016-04
University of Alaska Fairbanks,Statistics,Statistics,MS,Master,Alaska,Fairbanks,32.66,32469,994,4.5,59.7,64.8570885,-147.8256306,https://www.uaf.edu/dms/,2016-04
Arizona State University,Statistics,Statistics,MS,Master,Arizona,Tempe,39.5,172816,4375,62.7,92.4,33.4205747,-111.9323705,https://math.asu.edu/,2016-04
Arizona State University,Statistics,Statistics,PhD,Doctorate,Arizona,Tempe,39.5,172816,4375,62.7,92.4,33.4205747,-111.9323705,https://math.asu.edu/,2016-04
Northern Arizona University,Statistics,Statistics,MS,Master,Arizona,Flagstaff,63.86,68785,1077,35.8,62.5,35.1907322,-111.6562031,http://nau.edu/cefns/natsci/math/,2016-04
University of Arizona,Biostatistics,Biostatistics,MPH,Master,Arizona,Tucson,226.7,527972,2329,58.7,85.3,32.2384329,-110.9459314,https://publichealth.arizona.edu/departments/epi-bio/biostatistics,2016-04
University of Arizona,Biostatistics,Biostatistics,MS,Master,Arizona,Tucson,226.7,527972,2329,58.7,85.3,32.2384329,-110.9459314,https://publichealth.arizona.edu/departments/epi-bio/biostatistics,2016-04
University of Arizona,Biostatistics,Biostatistics,PhD,Doctorate,Arizona,Tucson,226.7,527972,2329,58.7,85.3,32.2384329,-110.9459314,https://publichealth.arizona.edu/departments/epi-bio/biostatistics,2016-04
University of Arizona,Statistics,Statistics,MS,Master,Arizona,Tucson,226.7,527972,2329,58.7,85.3,32.2293345,-110.953155,http://stat.arizona.edu/,2016-04
University of Arizona,Statistics,Statistics,PhD,Doctorate,Arizona,Tucson,226.7,527972,2329,58.7,85.3,32.2293345,-110.953155,http://stat.arizona.edu/,2016-04
Arkansas State University,Mathematics with Statistics Concentration,Statistics,MS,Master,Arkansas,Jonesboro,79.31,72210,910,47.3,78.9,35.8411131,-90.6777868,http://www.astate.edu/college/sciences-and-mathematics/departments/math-statistics/,2016-04
University of Arkansas,Statistics and Analytics,Statistics,MS,Master,Arkansas,Fayetteville,43.44,80621,1856,44.4,74.8,36.0669823,-94.1723739,http://fulbright.uark.edu/departments/math/,2016-04
University of Arkansas,Math with Statistics Concentration,Statistics,PhD,Doctorate,Arkansas,Fayetteville,43.44,80621,1856,44.4,74.8,36.0669823,-94.1723739,http://fulbright.uark.edu/departments/math/,2016-04
University of Arkansas at Little Rock,Mathematical Sciences Statistics Track,Statistics,MS,Master,Arkansas,Little Rock,116.8,197706,1693,50.5,81.1,34.7243274,-92.341026,http://ualr.edu/mathematics/,2016-04
University of Arkansas for Medical Sciences,Biostatistics,Biostatistics,MPH,Master,Arkansas,Little Rock,116.8,197706,1693,50.5,81.1,34.749924,-92.3208994,http://biostatistics.uams.edu/,2016-04
California Institute of Technology,Computing and Mathematical Sciences,Statistics,PhD,Doctorate,California,Pasadena,23.13,140881,6091,60.3,73.3,34.1397526,-118.1237912,http://www.cms.caltech.edu/,2016-04
"California State University, East Bay",Biostatistics,Biostatistics,MS,Master,California,Hayward,63.74,158985,2494,53,63.1,37.6563893,-122.0541278,http://www.csueastbay.edu/csci/departments/statistics/,2016-04
"California State University, East Bay",Statistics,Statistics,MS,Master,California,Hayward,63.74,158985,2494,53,63.1,37.6563893,-122.0541278,http://www.csueastbay.edu/csci/departments/statistics/,2016-04
"California State University, Long Beach",Applied Statistics,Statistics,MS,Master,California,Long Beach,51.44,473577,9206,60.7,71.5,33.7791331,-118.1136838,http://web.csulb.edu/depts/math/,2016-04
San Diego State University,Biostatistics,Biostatistics,MS,Master,California,San Diego,372.4,1381069,3709,64.4,68.7,32.7767679,-117.0692731,http://www.math.sdsu.edu/,2016-04
San Diego State University,Statistics,Statistics,MS,Master,California,San Diego,372.4,1381069,3709,64.4,68.7,32.7767679,-117.0692731,http://www.math.sdsu.edu/,2016-04
San Diego State University,Computational Statistics,Statistics,PhD,Doctorate,California,San Diego,372.4,1381069,3709,64.4,68.7,32.7767679,-117.0692731,http://www.csrc.sdsu.edu/Compstat/,2016-04
San Jose State University,Statistics,Statistics,MS,Master,California,San Jose,180,1015785,5643,56.4,69.7,37.3334534,-121.8817315,http://www.sjsu.edu/statistics/,2016-04
Stanford University,Statistics with Emphasis in Biostatistics,Biostatistics,PhD,Doctorate,California,Stanford,2.77,13809,4985,53.2,68.3,37.4289774,-122.1721409,https://statistics.stanford.edu,2016-04
Stanford University,Statistics,Statistics,MS,Master,California,Stanford,2.77,13809,4985,53.2,68.3,37.4289774,-122.1721409,https://statistics.stanford.edu,2016-04
Stanford University,Statistics,Statistics,PhD,Doctorate,California,Stanford,2.77,13809,4985,53.2,68.3,37.4289774,-122.1721409,https://statistics.stanford.edu,2016-04
"University of California, Berkeley",Biostatistics,Biostatistics,MA,Master,California,Berkeley,17.7,118853,6715,55.8,64.1,37.8737118,-122.2610484,http://www.stat.berkeley.edu/biostat/,2016-04
"University of California, Berkeley",Biostatistics,Biostatistics,PhD,Doctorate,California,Berkeley,17.7,118853,6715,55.8,64.1,37.8737118,-122.2610484,http://www.stat.berkeley.edu/biostat/,2016-04
"University of California, Berkeley",Statistics,Statistics,MA,Master,California,Berkeley,17.7,118853,6715,55.8,64.1,37.8736017,-122.2578563,http://statistics.berkeley.edu/,2016-04
"University of California, Berkeley",Statistics,Statistics,PhD,Doctorate,California,Berkeley,17.7,118853,6715,55.8,64.1,37.8736017,-122.2578563,http://statistics.berkeley.edu/,2016-04
"University of California, Davis",Biostatistics,Biostatistics,MS,Master,California,Davis,9.9,66742,6742,53.5,75.6,38.5358541,-121.752626,http://biostat.ucdavis.edu/,2016-04
"University of California, Davis",Biostatistics,Biostatistics,PhD,Doctorate,California,Davis,9.9,66742,6742,53.5,75.6,38.5358541,-121.752626,http://biostat.ucdavis.edu/,2016-04
"University of California, Davis",Statistics,Statistics,MS,Master,California,Davis,9.9,66742,6742,53.5,75.6,38.5358541,-121.752626,http://www.stat.ucdavis.edu/,2016-04
"University of California, Davis",Statistics,Statistics,PhD,Doctorate,California,Davis,9.9,66742,6742,53.5,75.6,38.5358541,-121.752626,http://www.stat.ucdavis.edu/,2016-04
"University of California, Irvine",Statistics,Statistics,MS,Master,California,Irvine,66.45,248531,3740,59.3,69.8,33.6432991,-117.8419876,http://www.stat.uci.edu/,2016-04
"University of California, Irvine",Statistics,Statistics,PhD,Doctorate,California,Irvine,66.45,248531,3740,59.3,69.8,33.6432991,-117.8419876,http://www.stat.uci.edu/,2016-04
"University of California, Los Angeles",Biostatistics,Biostatistics,MPH,Master,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0668026,-118.4436907,https://www.biostat.ucla.edu/,2016-04
"University of California, Los Angeles",Biostatistics,Biostatistics,MS,Master,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0668026,-118.4436907,https://www.biostat.ucla.edu/,2016-04
"University of California, Los Angeles",Biostatistics,Biostatistics,PhD,Doctorate,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0668026,-118.4436907,https://www.biostat.ucla.edu/,2016-04
"University of California, Los Angeles",Statistics,Statistics,MS,Master,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0695821,-118.4427975,http://statistics.ucla.edu/,2016-04
"University of California, Los Angeles",Statistics,Statistics,PhD,Doctorate,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0695821,-118.4427975,http://statistics.ucla.edu/,2016-04
"University of California, Riverside",Statistics,Statistics,MS,Master,California,Riverside,81.44,319504,3923,59.3,75.6,33.9712577,-117.3284769,http://statistics.ucr.edu/,2016-04
"University of California, Riverside",Statistics,Statistics,PhD,Doctorate,California,Riverside,81.44,319504,3923,59.3,75.6,33.9712577,-117.3284769,http://statistics.ucr.edu/,2016-04
